link1	link2	value
1	1	0
1.0	2.0	0.1475313946980609
1.0	3.0	0.0999697685769382
1.0	4.0	0.0
1.0	5.0	0.43230229321446373
1.0	6.0	0.19869054527300967
1.0	7.0	0.14966853987188247
1.0	8.0	0.16735590815235638
1.0	9.0	0.09765758751414047
1.0	10.0	0.15066882437768134
1.0	11.0	0.4155142350716822
1.0	12.0	0.1738078405408283
1.0	13.0	0.15656848308084323
1.0	14.0	0.17971942784361142
1.0	15.0	0.6097677191763099
1.0	16.0	0.06155469908071179
1.0	17.0	0.14653934664571452
1.0	18.0	0.04386166901843634
1.0	19.0	0.3929065918349415
1.0	20.0	0.1268833183798779
1.0	21.0	0.6463529579451412
1.0	22.0	0.08214906397879992
1.0	23.0	0.21267880820645418
1.0	24.0	0.04829820865323873
1.0	25.0	0.1561533978818981
1.0	26.0	0.16305055850107472
1.0	27.0	0.18701058707307577
1.0	28.0	0.3887600278224166
1.0	29.0	0.02402304828765749
1.0	30.0	0.6734412034352372
1.0	31.0	0.11905464237570455
1.0	32.0	0.19276458452570866
1.0	33.0	0.00817375125265355
1.0	34.0	0.5495811235981667
1.0	35.0	0.722056965445226
1.0	36.0	0.12100300572389537
1.0	37.0	0.6174045239711362
1.0	38.0	0.14709458464745542
1.0	39.0	0.21587220964685502
1.0	40.0	0.2297340200101575
1.0	41.0	0.7364089216430176
1.0	42.0	0.6119646047746848
1.0	43.0	0.10788309987231912
1.0	44.0	0.5160975693656203
1.0	45.0	0.17999951668581093
1.0	46.0	0.1566583070877894
1.0	47.0	0.11498603758303706
1.0	48.0	0.16579310595844013
1.0	49.0	0.07451481553479636
1.0	50.0	0.07004127385502038
2.0	1.0	0.1475313946980609
2	2	0
2.0	3.0	0.09428604470061534
2.0	4.0	0.0
2.0	5.0	0.1518269015410644
2.0	6.0	0.3070062215415723
2.0	7.0	0.1274686492064154
2.0	8.0	0.13835980495105216
2.0	9.0	0.08862534991148592
2.0	10.0	0.10665181014613924
2.0	11.0	0.08240888584498612
2.0	12.0	0.1330266868510824
2.0	13.0	0.08793381950680107
2.0	14.0	0.11667013427826553
2.0	15.0	0.13244679918509664
2.0	16.0	0.014279301823455224
2.0	17.0	0.10950244940884246
2.0	18.0	0.01953449385185974
2.0	19.0	0.14485759977677368
2.0	20.0	0.16571943722407032
2.0	21.0	0.08396733340207439
2.0	22.0	0.05527705473034466
2.0	23.0	0.21040506629967567
2.0	24.0	0.017612091325734762
2.0	25.0	0.15646124678745277
2.0	26.0	0.15323652021906267
2.0	27.0	0.15317826419672692
2.0	28.0	0.1116501524961018
2.0	29.0	0.05311548042310352
2.0	30.0	0.10914786005756313
2.0	31.0	0.052078272780621014
2.0	32.0	0.31122920345941907
2.0	33.0	0.007305618759236401
2.0	34.0	0.10317722136324924
2.0	35.0	0.09943543240512988
2.0	36.0	0.10131852822103064
2.0	37.0	0.18144236854774
2.0	38.0	0.10052177018435982
2.0	39.0	0.13639306678888463
2.0	40.0	0.16821401696345117
2.0	41.0	0.10064852718207154
2.0	42.0	0.12300304955842388
2.0	43.0	0.08686132781576776
2.0	44.0	0.2009223742629641
2.0	45.0	0.124593590653448
2.0	46.0	0.16522530013950654
2.0	47.0	0.09179084074361984
2.0	48.0	0.18842331328567516
2.0	49.0	0.12141294475634642
2.0	50.0	0.0831400051985526
3.0	1.0	0.0999697685769382
3.0	2.0	0.09428604470061534
3	3	0
3.0	4.0	0.0
3.0	5.0	0.10200130822158075
3.0	6.0	0.11124323203371517
3.0	7.0	0.09330294874125863
3.0	8.0	0.09998659794352074
3.0	9.0	0.06899053025378966
3.0	10.0	0.06598432515138425
3.0	11.0	0.0711031921362137
3.0	12.0	0.0972167157632752
3.0	13.0	0.07849905363048988
3.0	14.0	0.07941444751518625
3.0	15.0	0.10037239074103825
3.0	16.0	0.024215625939205766
3.0	17.0	0.08718955068644603
3.0	18.0	0.03246580282887839
3.0	19.0	0.09248057412604986
3.0	20.0	0.13835985737722353
3.0	21.0	0.08213383372073893
3.0	22.0	0.055450187242612636
3.0	23.0	0.1292960495657883
3.0	24.0	0.027816697109400736
3.0	25.0	0.15098022151071985
3.0	26.0	0.13700295166030937
3.0	27.0	0.14765585749818103
3.0	28.0	0.08238300356420922
3.0	29.0	0.017835378421615124
3.0	30.0	0.09890029300389787
3.0	31.0	0.15468956690718533
3.0	32.0	0.09590509149760276
3.0	33.0	0.0027460579647965804
3.0	34.0	0.08670884735460763
3.0	35.0	0.09826135823568517
3.0	36.0	0.08077840334385673
3.0	37.0	0.1125729391453536
3.0	38.0	0.07491151150245133
3.0	39.0	0.10205803907180419
3.0	40.0	0.11941817894135281
3.0	41.0	0.09583023282692117
