link	title	twitter_link	usernames
http://www.kinresearch.nl/person/marleen-huysman/	Marleen Huysman | KIN Research	https://twitter.com/marleenhuysman	marleenhuysman
http://www.kinresearch.nl/person/marleen-huysman/	Marleen Huysman | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/person/marleen-huysman/	Marleen Huysman | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/person/bart-van-den-hooff/	Bart van den Hooff | KIN Research	https://twitter.com/bartvandenhooff	bartvandenhooff
http://www.kinresearch.nl/person/bart-van-den-hooff/	Bart van den Hooff | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/person/bart-van-den-hooff/	Bart van den Hooff | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/person/han-gerrits/	Han Gerrits | KIN Research	https://twitter.com/hangerrits	hangerrits
http://www.kinresearch.nl/person/han-gerrits/	Han Gerrits | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/person/han-gerrits/	Han Gerrits | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/person/raghu-garud/	Raghu Garud | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/person/raghu-garud/	Raghu Garud | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/samer-faraj/	Samer Faraj | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/samer-faraj/	Samer Faraj | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/mario-van-vliet/	Mario van Vliet | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/mario-van-vliet/	Mario van Vliet | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/hans-berends/	Hans Berends | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/hans-berends/	Hans Berends | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/frans-feldberg/	Frans Feldberg | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/frans-feldberg/	Frans Feldberg | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/maura-soekijad/	Maura Soekijad | KIN Research	https://twitter.com/mauravu?lang=nl	mauravu
http://www.kinresearch.nl/maura-soekijad/	Maura Soekijad | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/maura-soekijad/	Maura Soekijad | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/philipp-tuertscher/	Philipp Tuertscher | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/philipp-tuertscher/	Philipp Tuertscher | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/tibert-verhagen/	Tibert Verhagen | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/tibert-verhagen/	Tibert Verhagen | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/marlous-agterberg/	Marlous Agterberg | KIN Research	https://twitter.com/mrlsagterberg	mrlsagterberg
http://www.kinresearch.nl/marlous-agterberg/	Marlous Agterberg | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/marlous-agterberg/	Marlous Agterberg | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/fleur-deken/	Fleur Deken | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/fleur-deken/	Fleur Deken | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/frank-derksen/	Frank Derksen | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/frank-derksen/	Frank Derksen | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/rosalinde-klein-woolthuis/	Rosalinde Klein Woolthuis | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/rosalinde-klein-woolthuis/	Rosalinde Klein Woolthuis | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/yixin-lu/	Yixin Lu | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/yixin-lu/	Yixin Lu | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/amanda-porter/	Amanda Porter | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/amanda-porter/	Amanda Porter | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/marijn-plomp/	Marijn Plomp | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/marijn-plomp/	Marijn Plomp | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/mohammad-rezazade-mehrizi/	Mohammad Rezazade Mehrizi | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/mohammad-rezazade-mehrizi/	Mohammad Rezazade Mehrizi | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/jan-kees-schakel/	Jan-Kees Schakel | KIN Research	https://twitter.com/sensingclues	sensingclues
http://www.kinresearch.nl/jan-kees-schakel/	Jan-Kees Schakel | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/jan-kees-schakel/	Jan-Kees Schakel | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/gerlof-sijtsma/	Gerlof Sijtsma | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/gerlof-sijtsma/	Gerlof Sijtsma | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/inge-van-de-weerd/	Inge van de Weerd | KIN Research	https://twitter.com/ingevandeweerd	ingevandeweerd
http://www.kinresearch.nl/inge-van-de-weerd/	Inge van de Weerd | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/inge-van-de-weerd/	Inge van de Weerd | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/martijn-van-otterlo/	Martijn van Otterlo | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/martijn-van-otterlo/	Martijn van Otterlo | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/anastasia-segreeva/	Anastasia Sergeeva | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/anastasia-segreeva/	Anastasia Sergeeva | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/wendy-gunther/	Wendy Günther | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/wendy-gunther/	Wendy Günther | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/susan-hilbolling/	Susan Hilbolling | KIN Research	https://twitter.com/susanhilbolling	susanhilbolling
http://www.kinresearch.nl/susan-hilbolling/	Susan Hilbolling | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/susan-hilbolling/	Susan Hilbolling | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/jochem-hummel/	Jochem Hummel | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/jochem-hummel/	Jochem Hummel | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/natalja-laurey/	Natalja Laurey | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/natalja-laurey/	Natalja Laurey | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/nick-oostervink/	Nick Oostervink | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/nick-oostervink/	Nick Oostervink | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/montserrat-prats-lopez/	Montserrat Prats Lopez | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/montserrat-prats-lopez/	Montserrat Prats Lopez | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/julia-schlegelmilch/	Julia Schlegelmilch | KIN Research	https://twitter.com/schlegelmilch_j	schlegelmilch_j
http://www.kinresearch.nl/julia-schlegelmilch/	Julia Schlegelmilch | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/julia-schlegelmilch/	Julia Schlegelmilch | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/charlotte-vonkeman/	Charlotte Vonkeman | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/charlotte-vonkeman/	Charlotte Vonkeman | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/frithjof-wegener/	Frithjof Wegener | KIN Research	https://twitter.com/frithjofthinks	frithjofthinks
http://www.kinresearch.nl/frithjof-wegener/	Frithjof Wegener | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/frithjof-wegener/	Frithjof Wegener | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/kaoutar-sakaqui/	Kaoutar Sakaqui | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/kaoutar-sakaqui/	Kaoutar Sakaqui | KIN Research	https://twitter.com/KINresearch	KINresearch
http://www.kinresearch.nl/ellen-van-ombergen/	Ellen van Ombergen | KIN Research	https://twitter.com/twitterdev	twitterdev
http://www.kinresearch.nl/ellen-van-ombergen/	Ellen van Ombergen | KIN Research	https://twitter.com/KINresearch	KINresearch
https://filipilievski.wordpress.com/	Filip Ilievski's Personal Space	https://twitter.com/earthling91	earthling91
https://chantalvanson.wordpress.com/	Chantal van Son's homepage	https://twitter.com/ChantalvanSon/	
http://literatuurensamenleving.nl/medewerkers/amrita-das/	VU Amsterdam Literature and Society Amrita Das NWO	https://twitter.com/bpeperkamp	bpeperkamp
http://literatuurensamenleving.nl/medewerkers/andrew-niemeyer/	Andrew Niemeyer - VU Amsterdam - Literatuur en Samenleving: Nederlands of Engels aan de Vrije Universiteit.	https://twitter.com/bpeperkamp	bpeperkamp
http://literatuurensamenleving.nl/medewerkers/prof-dr-ben-peperkamp/	VU Amsterdam Nederlands Ben Peperkamp	https://twitter.com/bpeperkamp	bpeperkamp
http://literatuurensamenleving.nl/medewerkers/prof-dr-ben-peperkamp/	VU Amsterdam Nederlands Ben Peperkamp	https://twitter.com/bpeperkamp	bpeperkamp
http://www.vu-ciw.nl/over-ons/docenten/eric-akkerman/	Eric Akkerman - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/petra-bos/	Petra Bos - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/maaike-van-den-haak/	Maaike van den Haak - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/nel-de-jong/	Nel de Jong - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/anna-kaal	Anna Kaal - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.martijnkleppe.nl/	Martijn Kleppe - Erasmus Universiteit Rotterdam :: Home	https://twitter.com/StuartAFranklin/status/468424809622536192	
http://www.martijnkleppe.nl/	Martijn Kleppe - Erasmus Universiteit Rotterdam :: Home	https://twitter.com/search?q=%23DHBenelux&src=tweetcrete	
http://www.vu-ciw.nl/over-ons/docenten/tina-krennmayr/	Tina Krennmayr - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/luuk-lagerwerf/	Luuk Lagerwerf - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/carmen-ripa-de-la-concepcion/	Carmen Ripa de la Concepción - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/marca-schasfoort/	Marca Schasfoort - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/maurice-vliegen/	Maurice Vliegen - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.vu-ciw.nl/over-ons/docenten/lourens-de-vries	Lourens de Vries - Communicatie- en Informatiewetenschappen	https://twitter.com/VU_CIW	VU_CIW
http://www.fsw.vu.nl/en/departments/communication-science/staff/arendsen/index.aspx	Drs. J. Arendsen - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/baars/index.aspx	Drs. A.M. Baars - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/bartels/index.aspx	Dr. J. Bartels - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/beukeboom/index.aspx	Dr. C.J. Beukeboom - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/camielbeukeboom	camielbeukeboom
http://www.fsw.vu.nl/en/departments/communication-science/staff/beukeboom/index.aspx	Dr. C.J. Beukeboom - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/billedo/index.aspx	Billedo - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/balau/index.aspx	N. Balau, MSc - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/boeynaems/index.aspx	A. Boeynaems, MSc - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/b-brugman/index.aspx	B. Brugman, MSc - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/burgers/index.aspx	Dr. C.F. Burgers - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/bushman/index.aspx	Dr. B. Bushman - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/eden/index.aspx	Dr. A.L. Eden - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/allison_eden	allison_eden
http://www.fsw.vu.nl/en/departments/communication-science/staff/eden/index.aspx	Dr. A.L. Eden - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/Hamer/index.aspx	A. den Hamer, MSc - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/hartmann/index.aspx	Dr. T. Hartmann - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/hoeksema/index.aspx	B. Hoeksema, MSc - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/van-hoof/index.aspx	Dr. A.M.J. van Hoof - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/johnson/index.aspx	Dr. B.K. Johnson - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/kerkhof/index.aspx	Dr. P. Kerkhof - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/kerkhof/index.aspx	Dr. P. Kerkhof - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/kleinnijenhuis/index.aspx	Prof.dr. J. Kleinnijenhuis - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/klemm/index.aspx	C. Klemm, MSc - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/konijn/index.aspx	Dr. E.A. Konijn - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/van-koningsbruggen/index.aspx	Dr. G. van Koningsbruggen - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/krouwel/index.aspx	Dr. A.P.M. Krouwel - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/andrekrouwel	andrekrouwel
http://www.fsw.vu.nl/en/departments/communication-science/staff/krouwel/index.aspx	Dr. A.P.M. Krouwel - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
http://www.fsw.vu.nl/en/departments/communication-science/staff/Li/index.aspx	Ir. W.L. Li - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/wanglongli	wanglongli
http://www.fsw.vu.nl/en/departments/communication-science/staff/Li/index.aspx	Ir. W.L. Li - Staff - Faculty of Social Sciences, VU University Amsterdam	https://twitter.com/FSW_VU	FSW_VU
