group	usernames	link
CIW	VU_CIW	11
CLTL	earthling91	1
CS	FrankVanHarmele	1
CS	RinkeHoekstra	1
CS	albertmeronyo	1
CS	antoine_isaac	1
CS	hyperir	2
CS	jrbn	1
CS	laroyo	1
CS	txkuhn	1
CW	FSW_VU	40
CW	JaapOuwerkerk	1
CW	allison_eden	1
CW	andrekrouwel	1
CW	camielbeukeboom	1
CW	giuliaranzini	1
CW	loez23	1
CW	wanglongli	1
FSW	FSW_VU	29
FSW	OrgVU	1
FSW	juulferg	1
KIN	KINresearch	35
KIN	bartvandenhooff	1
KIN	frithjofthinks	1
KIN	hangerrits	1
KIN	ingevandeweerd	1
KIN	marleenhuysman	1
KIN	mauravu	1
KIN	mrlsagterberg	1
KIN	schlegelmilch_j	1
KIN	sensingclues	1
KIN	susanhilbolling	1
KIN	twitterdev	35
L&S	bpeperkamp	4
